Doctor_SLMC_ID,Channeling_Center_Name,Consultation_Fee,Available_Days,Available_Time
12485,Asiri Central Hospital,3500.00,"Monday, Wednesday, Friday",05:00 PM - 08:00 PM
12485,Lanka Hospitals,3500.00,"Tuesday, Thursday",05:30 PM - 08:30 PM
12485,CDEM Hospital,3000.00,Saturday,09:00 AM - 12:00 PM
9823,Lanka Hospitals,3500.00,"Monday, Wednesday",04:30 PM - 07:30 PM
9823,Durdans Hospital,3500.00,"Tuesday, Friday",05:00 PM - 08:00 PM
9823,CDEM Hospital,3000.00,Sunday,10:00 AM - 01:00 PM
16402,Asiri Surgical Hospital,3000.00,"Monday, Thursday",06:00 PM - 08:30 PM
16402,Kings Hospital Colombo,3000.00,"Wednesday, Saturday",05:00 PM - 08:00 PM
8745,Durdans Hospital,4000.00,"Monday, Wednesday, Friday",04:00 PM - 07:00 PM
8745,Asiri Central Hospital,4000.00,"Tuesday, Thursday",04:30 PM - 07:30 PM
8745,Nawaloka Hospital Colombo,4000.00,Saturday,09:00 AM - 01:00 PM
14230,Hemas Hospital Thalawathugoda,2500.00,"Tuesday, Friday",06:00 PM - 09:00 PM
14230,Nawaloka Hospital Colombo,2500.00,"Monday, Thursday",05:00 PM - 08:00 PM
11240,Asiri Central Hospital,3000.00,"Monday, Wednesday, Friday",05:00 PM - 08:00 PM
11240,CDEM Hospital,2800.00,Tuesday,05:30 PM - 08:30 PM
11240,Nawaloka Premier Center,3200.00,Saturday,03:00 PM - 06:00 PM
10850,CDEM Hospital,2800.00,"Monday, Thursday",04:30 PM - 07:30 PM
10850,Lanka Hospitals,3000.00,"Wednesday, Friday",05:00 PM - 08:00 PM
10850,Ceymed Healthcare Services Nugegoda,2500.00,Saturday,09:00 AM - 12:00 PM
7890,Durdans Hospital,3000.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
7890,Ceymed Healthcare Services Nugegoda,2500.00,"Monday, Friday",06:00 PM - 08:30 PM
13450,Asiri Hospital Kandy,2600.00,"Monday, Wednesday, Friday",04:30 PM - 07:30 PM
13450,Suwasevana Hospital Kandy,2500.00,"Tuesday, Thursday, Saturday",05:00 PM - 08:00 PM
9450,Asiri Medical Hospital,2800.00,"Monday, Thursday",05:00 PM - 08:00 PM
9450,Hemas Hospital Wattala,2500.00,"Wednesday, Saturday",05:30 PM - 08:30 PM
15670,CDEM Hospital,3500.00,"Monday, Wednesday, Friday",04:00 PM - 07:00 PM
15670,Asiri Central Hospital,3500.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
15670,Nawaloka Premier Center,3800.00,Saturday,09:00 AM - 01:00 PM
17820,Ceymed Healthcare Services Nugegoda,2800.00,"Monday, Wednesday",05:30 PM - 08:30 PM
17820,Lanka Hospitals,3000.00,"Tuesday, Friday",05:00 PM - 08:00 PM
19450,Asiri Medical Hospital,2800.00,"Wednesday, Friday",05:00 PM - 08:00 PM
19450,Kings Hospital Colombo,3000.00,"Monday, Thursday",06:00 PM - 08:30 PM
12340,Lanka Hospitals,3500.00,"Monday, Wednesday",04:30 PM - 07:30 PM
12340,Nawaloka Hospital Colombo,3500.00,"Tuesday, Friday",05:00 PM - 08:00 PM
12340,Asiri Surgical Hospital,3500.00,Saturday,09:00 AM - 12:00 PM
18230,Asiri Medical Hospital,2800.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
18230,Durdans Hospital,3000.00,"Monday, Friday",05:30 PM - 08:30 PM
14560,Asiri Surgical Hospital,3500.00,"Monday, Wednesday, Friday",05:00 PM - 08:00 PM
14560,Lanka Hospitals,3500.00,"Tuesday, Thursday",05:30 PM - 08:30 PM
14560,Kings Hospital Colombo,3200.00,Saturday,09:00 AM - 12:00 PM
11670,Ceymed Healthcare Services Nugegoda,2800.00,"Tuesday, Thursday",06:00 PM - 08:30 PM
11670,Asiri Medical Hospital,3000.00,"Monday, Friday",05:00 PM - 08:00 PM
13240,Ceymed Healthcare Services Nugegoda,2800.00,"Monday, Wednesday",05:30 PM - 08:30 PM
13240,Nawaloka Hospital Colombo,3000.00,"Tuesday, Friday",05:00 PM - 08:00 PM
10980,Asiri Hospital Galle,2500.00,"Monday, Wednesday, Friday",04:30 PM - 07:30 PM
10980,Galle Co-operative Hospital,2200.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
10980,Ruhunu Hospital,2500.00,Saturday,09:00 AM - 01:00 PM
8950,Suwasevana Hospital Kandy,2800.00,"Monday, Wednesday, Friday",04:30 PM - 07:30 PM
8950,Asiri Hospital Kandy,2800.00,"Tuesday, Thursday, Saturday",05:00 PM - 08:00 PM
15430,Lanka Hospitals,2800.00,"Monday, Wednesday",05:00 PM - 08:00 PM
15430,Hemas Hospital Thalawathugoda,2500.00,"Tuesday, Friday",06:00 PM - 09:00 PM
7650,Ceymed Healthcare Services Nugegoda,3000.00,"Monday, Wednesday, Friday",05:00 PM - 08:00 PM
7650,Asiri Central Hospital,3200.00,"Tuesday, Thursday",05:30 PM - 08:30 PM
12100,Ceymed Healthcare Services Nugegoda,2800.00,"Tuesday, Thursday",05:30 PM - 08:30 PM
12100,Durdans Hospital,3000.00,"Monday, Friday",05:00 PM - 08:00 PM
16780,Ceymed Healthcare Services Nugegoda,2500.00,"Monday, Wednesday",06:00 PM - 08:30 PM
16780,Lanka Hospitals,2800.00,"Tuesday, Friday",05:00 PM - 08:00 PM
17650,Asiri Medical Hospital,2800.00,"Wednesday, Friday",05:00 PM - 08:00 PM
17650,Nawaloka Premier Center,3000.00,"Monday, Thursday",06:00 PM - 08:30 PM
10450,Asiri Central Hospital,3500.00,"Monday, Wednesday, Friday",04:30 PM - 07:30 PM
10450,Lanka Hospitals,3500.00,"Tuesday, Thursday",05:00 PM - 08:00 PM
10450,Durdans Hospital,3500.00,Saturday,09:00 AM - 12:00 PM
13420,Asiri Medical Hospital,3000.00,"Tuesday, Thursday",05:30 PM - 08:30 PM
13420,Nawaloka Hospital Colombo,3000.00,"Monday, Friday",05:00 PM - 08:00 PM
11890,Asiri Surgical Hospital,3500.00,"Monday, Wednesday",05:00 PM - 08:00 PM
11890,Kings Hospital Colombo,3200.00,"Tuesday, Friday",05:30 PM - 08:30 PM
18940,Asiri Hospital Kandy,2800.00,"Monday, Wednesday, Friday",04:30 PM - 07:30 PM
18940,Suwasevana Hospital Kandy,2800.00,"Tuesday, Thursday, Saturday",05:00 PM - 08:00 PM
