Symptom_Name,Description
Chest Pain,Discomfort or pain located in the chest area radiating to arm jaw or back
Shortness of Breath,Subjective feeling of difficult or uncomfortable breathing
Fatigue,Persistent state of physical or mental exhaustion unalleviated by rest
Heart Palpitations,Awareness of rapid irregular or forceful heartbeats
Dizziness,Sensation of lightheadedness unsteadiness or presyncope
Swollen Legs and Ankles,Peripheral accumulation of interstitial fluid in the lower extremities
Headache,Pain located in the cranial vault or upper cervical region
Blurred Vision,Loss of sharp visual acuity and inability to see fine details
Fainting (Syncope),Transient loss of consciousness caused by cerebral hypoperfusion
Heart Murmur,Abnormal extra sound heard during cardiac auscultation
High Fever,Core body temperature elevation exceeding 38.5 degrees Celsius
Chills,Involuntary muscle contractions and shivering caused by fever
Night Sweats,Episodes of drenching perspiration during sleep
Sharp Chest Pain,Pleuritic or pericardial stabbing pain exacerbated by respiration
Leg Swelling,Unilateral or bilateral enlargement of the lower extremity
Calf Pain,Pain localized to the gastrocnemius and soleus muscle compartments
Hemoptysis,Coughing up blood or blood-stained mucus from the respiratory tract
Cyanosis,Bluish discoloration of skin and mucous membranes due to deoxygenated hemoglobin
Silvery Skin Scales,Characteristic micaceous lamellar scales on erythematous skin plaques
Red Skin Plaques,Elevated circumscribed inflammatory lesions of the dermis
Intense Pruritus,Severe sensation causing an overwhelming urge to scratch
Comedones,Plugged sebaceous follicles containing sebum and keratin
Patchy Hair Loss,Circumscribed focal areas of alopecia on scalp or body
Depigmented Skin Macules,Complete loss of melanin resulting in porcelain white skin macules
Vesicular Eruptions,Small fluid-filled epidermal blisters on erythematous bases
Pruritic Wheals,Transient edematous erythematous skin swellings with severe itching
Facial Erythema,Persistent redness of the central facial convexities
Dandruff,Excessive shedding of dead skin flakes from the scalp
Polyuria,Production of abnormally large volumes of dilute urine
Polydipsia,Excessive persistent thirst accompanied by high fluid intake
Cold Intolerance,Abnormal heightened sensitivity to cold environmental temperatures
Heat Intolerance,Abnormal inability to endure warm temperatures with heavy perspiration
Moon Facies,Rounded plethoric facial appearance resulting from cortisol excess
Exophthalmos,Abnormal anterior protrusion of the eyeballs from the orbits
Enlarged Goiter,Visible or palpable enlargement of the thyroid gland in the anterior neck
Bone Pain,Deep somatic aching localized to osseous structures
Galactorrhea,Inappropriate non-puerperal lactation from the mammary glands
Paroxysmal Hypertension,Sudden episodic spikes in systemic arterial blood pressure
Irregular Menstrual Cycles,Variations in menstrual cycle length exceeding normal clinical parameters
Heartburn,Substernal burning sensation radiating towards the pharynx
Epigastric Pain,Pain localized to the upper central abdominal region
Bloody Diarrhea,Frequent passage of loose watery stools containing visible blood
Jaundice,Yellowish pigmentation of the sclera skin and mucous membranes from bilirubin
Ascites,Pathological accumulation of serous fluid within the peritoneal cavity
Steatorrhea,Passage of bulky pale foul-smelling stools with high fat content
Biliary Colic,Intense waxing and waning pain in the right upper quadrant
Sudden Hemiplegia,Acute unilateral paralysis of arm and leg typically following stroke
Resting Pill-Rolling Tremor,Low-frequency rhythmic tremor occurring at rest
Unilateral Throbbing Headache,Pulsating hemicranial headache characteristic of migraine
Fluctuating Ptosis,Drooping of the upper eyelid that worsens with muscular fatigue
Muscle Fasciculations,Visible involuntary fine twitching of skeletal muscle fibers
Ascending Muscle Weakness,Motor weakness beginning in lower limbs and progressing proximally
Unilateral Facial Sagging,Loss of motor control causing drooping on one side of the face
Sciatica Pain Radiating to Leg,Sharp shooting radicular pain following the sciatic nerve distribution
Wheezing,High-pitched continuous musical sound produced during respiratory expiration
Productive Cough with Purulent Sputum,Cough producing thick yellow or greenish bronchial secretions
Drenching Night Sweats,Severe nocturnal diaphoresis requiring changing of nightclothes
Copious Foul-smelling Sputum,Abundant three-layered purulent sputum typical of bronchiectasis
Loud Habitual Snoring,Vibratory noise generated by upper airway collapse during sleep
Oliguria,Significantly diminished urine output below 400 mL per 24 hours
Massive Proteinuria,Urinary protein excretion exceeding 3.5 grams per 24 hours
Urinary Hesitancy,Difficulty initiating the stream of urine
Severe Loin-to-Groin Colic Pain,Excruciating spasmodic pain caused by ureteral calculus
Sudden Severe Testicular Pain,Acute scrotal pain requiring urgent evaluation for torsion
Symmetric Joint Swelling,Simultaneous bilateral inflammation of identical synovial joints
Malar Butterfly Rash,Erythematous fixed rash over the nasal bridge and malar eminences
Severe First MTP Joint Pain (Podagra),Acute excruciating monoarthritis at the great toe base
Raynaud Phenomenon,Triphasic color change in digits triggered by cold or emotional stress
Audible Pop at Injury,Auditory snapping sound heard during ligamentous rupture
Nocturnal Hand Paresthesias,Numbness and tingling in the hand waking the patient at night
Severe Heel Pain on First Morning Steps,Pathognomonic plantar fascia pain on initial weight-bearing
Chronic Otorrhea,Persistent drainage of fluid or pus from the external auditory meatus
Paroxysmal Sneezing,Sudden bouts of repetitive sneezing triggered by allergen exposure
True Episodic Vertigo,Subjective rotational sensation of the environment spinning
Severe Sore Throat,Intense pharyngeal pain aggravated by swallowing
Persistent Hoarseness,Altered vocal pitch or breathiness lasting over three weeks
Tachypnea,Abnormally elevated resting respiratory rate
Barking Cough,Harsh brassy cough resembling a seal barking
Strawberry Tongue,Erythematous hyperplastic lingual papillae with white coating
Persistent Depressed Mood,Unremitting state of sadness and hopelessness lasting over two weeks
Auditory Hallucinations,Perception of non-existent voices or auditory stimuli
Severe Retro-orbital Headache,Excruciating pain behind the eye globes characteristic of dengue
Conjunctival Suffusion,Bilateral conjunctival hyperemia without purulent exudate
Hydrophobia,Involuntary painful pharyngeal spasms triggered by attempts to swallow water
Intermittent Claudication,Cramp-like muscle pain in calves induced by exercise and relieved by rest
Medial Malleolar Ulcer,Shallow chronic ulcer situated above the medial ankle malleolus
Painless Hard Breast Lump,Palpable fixed solitary mass in breast tissue
Painless Jaundice,Progressive cutaneous icterus without abdominal colic
Altered Bowel Habits,Persistent change between constipation and diarrhea
