Name,Address,Contact_Number,Latitude,Longitude
Asiri Central Hospital,"No. 114, Norris Canal Road, Colombo 10",+94114665500,6.9218,79.8654
Asiri Surgical Hospital,"No. 21, Kirimandala Mawatha, Colombo 05",+94114524400,6.8953,79.8778
Asiri Medical Hospital,"No. 181, Kirula Road, Narahenpita, Colombo 05",+94114523300,6.8942,79.8772
Asiri Hospital Kandy,"No. 907, Peradeniya Road, Kandy",+94814528800,7.2711,80.6125
Asiri Hospital Galle,"No. 10, Wackwella Road, Galle",+94914640640,6.0422,80.2155
Asiri Hospital Matara,"No. 26, Esplanade Road, Uyanwatta, Matara",+94414390850,5.9482,80.5489
Nawaloka Hospital Colombo,"No. 23, Deshamanya H. K. Dharmadasa Mawatha, Colombo 02",+94115577111,6.9216,79.8550
Nawaloka Medicare Gampaha,"No. 169, Colombo Road, Gampaha",+94335577111,7.0873,79.9925
Nawaloka Medicare Negombo,"No. 169, Colombo Road, Negombo",+94315577111,7.2008,79.8436
Nawaloka Medical Centre Panadura,"No. 284, Galle Road, Panadura",+94385577111,6.7134,79.9074
Nawaloka Medicare Kurunegala,"No. 32, Colombo Road, Kurunegala",+94375577111,7.4818,80.3609
Nawaloka Premier Center,"No. 75, Dharmapala Mawatha, Colombo 07",+94115777777,6.9115,79.8652
Lanka Hospitals,"No. 578, Elvitigala Mawatha, Narahenpita, Colombo 05",+94115430000,6.8961,79.8774
Durdans Hospital,"No. 3, Alfred Place, Colombo 03",+94112140000,6.8992,79.8533
Ninewells Hospital,"No. 55/1, Kirimandala Mawatha, Narahenpita, Colombo 05",+94112049999,6.8950,79.8791
Kings Hospital Colombo,"No. 18/A, Evergreen Park Road, Narahenpita, Colombo 05",+94117743743,6.8975,79.8798
Hemas Hospital Thalawathugoda,"No. 647, Pannipitiya Road, Thalawathugoda",+94117888888,6.8773,79.9288
Hemas Hospital Wattala,"No. 389, Negombo Road, Wattala",+94117888888,6.9892,79.8895
Melsta Hospital Ragama,"No. 43, Mahabage Road, Ragama",+94115288288,7.0272,79.9189
Singhe Hospital,"No. 362, Colombo Road, Ratnapura",+94455555555,6.6828,80.3992
Ruhunu Hospital,"Karapitiya, Galle",+94912234059,6.0620,80.2241
Galle Co-operative Hospital,"No. 54, Gamini Mawatha, Galle",+94912232276,6.0367,80.2170
Kandy Private Hospital,"No. 255, Katugastota Road, Kandy",+94812232341,7.3069,80.6272
Suwasevana Hospital Kandy,"No. 532, Peradeniya Road, Kandy",+94812222404,7.2797,80.6198
Channelled Consultation Centre Kandy,"No. 14, Yatinuwara Veediya, Kandy",+94812224333,7.2925,80.6350
Seetha Channelling Centre Kandy,"No. 88, D.S. Senanayake Veediya, Kandy",+94812205500,7.2942,80.6375
Medihelp Hospital Horana,"No. 142, Anguruwatota Road, Horana",+94342261262,6.7150,80.0635
Medihelp Hospital Moratuwa,"No. 250, Galle Road, Moratuwa",+94112645445,6.7739,79.8816
Medihelp Hospital Piliyandala,"No. 88, Moratuwa Road, Piliyandala",+94112708708,6.8018,79.9227
Medihelp Hospital Beruwala,"No. 110, Galle Road, Beruwala",+94342276100,6.4789,79.9828
CDEM Hospital,"No. 21, Norris Canal Road, Colombo 10",+94117463600,6.9214,79.8660
Ceymed Healthcare Services Nugegoda,"No. 132, S. De S. Jayasinghe Mawatha, Nugegoda",+94112822722,6.8649,79.8997
Golden Key Eye and ENT Hospital,"No. 511/3, Kotte Road, Rajagiriya",+94112880288,6.9073,79.8920
Western Hospital,"No. 218, Cotta Road, Borella, Colombo 08",+94117392260,6.9118,79.8789
Joseph Fraser Ninewells Hospital,"No. 23, Joseph Fraser Road, Colombo 07",+94112588488,6.8970,79.8672
Nawinna Medicare Hospital,"No. 102, Maharagama Road, Nawinna, Maharagama",+94114304304,6.8502,79.9231
Winlanka Hospital Kohuwala,"No. 120, Sunethra Devi Road, Kohuwala",+94112828288,6.8572,79.8912
Miracle Health Hospital Kurunegala,"No. 45, Dambulla Road, Kurunegala",+94372229900,7.4912,80.3665
Cooperative Hospital Kurunegala,"No. 18, Rajapihilla Mawatha, Kurunegala",+94372222261,7.4860,80.3640
Sethma Hospital Gampaha,"No. 85, Library Road, Gampaha",+94332224050,7.0912,80.0125
Arogya Hospital Gampaha,"No. 14, Bauddhaloka Mawatha, Gampaha",+94332222252,7.0898,80.0140
St. Joseph Hospital Negombo,"No. 206, Main Street, Negombo",+94312222456,7.2085,79.8358
Ave Maria Hospital Negombo,"No. 40, Ave Maria Road, Negombo",+94312222074,7.2142,79.8390
Jaffna Northern Central Hospital,"No. 546, Hospital Road, Jaffna",+94212223344,9.6685,80.0210
Suwa Shanthi Hospital Anuradhapura,"No. 12, Maithripala Senanayake Mawatha, Anuradhapura",+94252222410,8.3350,80.4075
Anuradhapura Channelling Centre,"No. 88, Market Site, Anuradhapura",+94252224500,8.3412,80.4020
Co-operative Hospital Ratnapura,"No. 22, Hospital Road, Ratnapura",+94452222311,6.6845,80.4030
New Philip Hospital Kalutara,"No. 148, Galle Road, Kalutara",+94342222288,6.5847,79.9608
Kalutara Nursing Home,"No. 50, Nagoda Road, Kalutara",+94342222244,6.5815,79.9635
Badulla Nursing Home,"No. 15, Keppetipola Road, Badulla",+94552222270,6.9895,81.0560
Central Channelling Centre Matale,"No. 65, Trincomalee Street, Matale",+94662223120,7.4675,80.6234
Batticaloa Medical Centre,"No. 84, Bar Road, Batticaloa",+94652224111,7.7170,81.7000
Trinco Med Clinic Trincomalee,"No. 32, Inner Harbour Road, Trincomalee",+94262222800,8.5710,81.2335
