Specialty_Name,Description,Associated_Diseases,Primary_Symptoms
Cardiology,"Specialty dealing with disorders of the heart and blood vessels.","Coronary Artery Disease; Heart Failure; Hypertension; Atrial Fibrillation; Aortic Stenosis; Mitral Regurgitation; Infective Endocarditis; Pericarditis; Hypertrophic Cardiomyopathy; Dilated Cardiomyopathy; Aortic Aneurysm; Ventricular Tachycardia; Bradycardia; Deep Vein Thrombosis; Pulmonary Embolism","Chest Pain; Shortness of Breath; Heart Palpitations; Swollen Legs and Ankles; Dizziness; Syncope"
Dermatology,"Specialty dealing with the skin, nails, hair and its diseases.","Psoriasis; Atopic Dermatitis; Acne Vulgaris; Alopecia Areata; Vitiligo; Tinea Versicolor; Herpes Zoster; Urticaria; Rosacea; Molluscum Contagiosum; Seborrheic Dermatitis; Pemphigus Vulgaris; Melanoma; Basal Cell Carcinoma; Lichen Planus","Pruritus; Silvery Skin Scales; Erythematous Papules; Comedones; Depigmented Skin Macules; Vesicular Eruptions"
Endocrinology,"Specialty dealing with hormone disorders and metabolic diseases including diabetes and thyroid conditions.","Type 1 Diabetes Mellitus; Type 2 Diabetes Mellitus; Hypothyroidism; Hyperthyroidism; Graves Disease; Hashimoto Thyroiditis; Cushings Syndrome; Addisons Disease; Primary Hyperparathyroidism; Hypoparathyroidism; Acromegaly; Prolactinoma; Pheochromocytoma; Polycystic Ovary Syndrome; Gestational Diabetes","Polyuria; Polydipsia; Unexplained Weight Loss; Heat Intolerance; Cold Intolerance; Moon Facies"
Gastroenterology,"Specialty focused on the digestive system and its disorders.","Gastroesophageal Reflux Disease; Peptic Ulcer Disease; Crohns Disease; Ulcerative Colitis; Irritable Bowel Syndrome; Celiac Disease; Non-Alcoholic Fatty Liver Disease; Cirrhosis; Acute Pancreatitis; Chronic Pancreatitis; Gallstones; Acute Cholecystitis; Clostridioides Difficile Colitis; Gastric Cancer; Esophageal Achalasia","Heartburn; Epigastric Pain; Bloody Diarrhea; Jaundice; Ascites; Progressive Dysphagia"
General Medicine,"Specialty focused on the prevention, diagnosis, and non-surgical treatment of adult diseases.","Metabolic Syndrome; Vitamin D Deficiency; Vitamin B12 Deficiency Anemia; Heat Exhaustion; Sepsis; Chronic Fatigue Syndrome; Systemic Viral Syndrome; Dyslipidemia; Obesity Class II; Dehydration","Chronic Fatigue; Generalized Body Aches; High Fever; Postural Dizziness; Altered Mental Status"
General Surgery,"Specialty focusing on surgical treatment of abdominal contents, thyroid, breast, and trauma.","Acute Appendicitis; Inguinal Hernia; Umbilical Hernia; Incisional Hernia; Hemorrhoids; Anal Fissure; Perianal Abscess; Fistula-in-Ano; Small Bowel Obstruction; Large Bowel Obstruction; Thyroid Nodular Goiter; Acute Pancreatic Pseudocyst","Periumbilical Pain Shifting to RIF; Reducible Inguinal Mass; Rectal Bleeding on Defecation; Obstipation; Palpable Neck Mass"
Neurology,"Specialty dealing with disorders of the nervous system including brain, spine, and nerves.","Ischemic Stroke; Hemorrhagic Stroke; Parkinsons Disease; Alzheimers Disease; Multiple Sclerosis; Epilepsy; Migraine; Cluster Headache; Myasthenia Gravis; Amyotrophic Lateral Sclerosis; Guillain-Barre Syndrome; Bell Palsy; Normal Pressure Hydrocephalus; Trigeminal Neuralgia; Essential Tremor","Sudden Hemiplegia; Resting Pill-Rolling Tremor; Unilateral Throbbing Headache; Ptosis; Ascending Muscle Weakness"
Neurosurgery,"Surgical specialty involving the brain, spinal cord, and peripheral nerves.","Glioblastoma; Meningioma; Cerebral Aneurysm; Subdural Hematoma; Epidural Hematoma; Lumbar Disc Herniation; Cervical Spondylotic Myelopathy; Spinal Stenosis; Hydrocephalus; Chiari Malformation","Morning Headache with Vomiting; Sciatica Pain Radiating to Leg; Lucid Interval; Gait Ataxia; Focal Seizures"
Obstetrics and Gynaecology,"Specialty covering pregnancy, childbirth, and female reproductive health.","Uterine Fibroids; Endometriosis; Ectopic Pregnancy; Preeclampsia; Pelvic Inflammatory Disease; Cervical Cancer; Ovarian Cyst; Adenomyosis; Hyperemesis Gravidarum; Postpartum Hemorrhage","Menorrhagia; Severe Dysmenorrhea; Gestational Hypertension; Postcoital Bleeding; Intractable Pregnancy Vomiting"
Oncology,"Specialty dedicated to the diagnosis and medical treatment of cancer.","Breast Carcinoma; Colorectal Carcinoma; Gastric Adenocarcinoma; Hepatocellular Carcinoma; Renal Cell Carcinoma; Pancreatic Adenocarcinoma; Esophageal Carcinoma; Thyroid Carcinoma; Multiple Myeloma; Osteosarcoma","Painless Hard Breast Lump; Altered Bowel Habits; Painless Jaundice; Bone Pain Worse at Night; Rapid Unexplained Weight Loss"
