Disease_Name,Specialty,Description,Symptoms
Coronary Artery Disease,Cardiology,"Narrowing or blockage of coronary arteries usually caused by atherosclerosis.","Chest Pain; Shortness of Breath; Fatigue; Heart Palpitations; Dizziness"
Heart Failure,Cardiology,"Chronic progressive condition affecting the pumping power of heart muscles.","Shortness of Breath; Swollen Legs and Ankles; Chronic Fatigue; Rapid Heart Rate; Persistent Cough"
Hypertension,Cardiology,"Sustained high systemic arterial blood pressure requiring clinical management.","Headache; Dizziness; Blurred Vision; Chest Tightness; Nosebleeds"
Atrial Fibrillation,Cardiology,"Irregular and rapid heart rhythm originating in the atria.","Heart Palpitations; Fatigue; Lightheadedness; Shortness of Breath; Chest Discomfort"
Aortic Stenosis,Cardiology,"Narrowing of the aortic valve opening restricting blood flow from the left ventricle.","Chest Pain; Fainting (Syncope); Shortness of Breath; Heart Murmur; Exercise Intolerance"
Mitral Regurgitation,Cardiology,"Backflow of blood caused by failure of the mitral valve to close tightly.","Shortness of Breath; Fatigue; Heart Murmur; Swollen Feet; Palpitations"
Infective Endocarditis,Cardiology,"Infection of the endocardial surface of the heart including heart valves.","High Fever; Chills; Night Sweats; Fatigue; Heart Murmur"
Pericarditis,Cardiology,"Inflammation of the fibrous sac surrounding the heart.","Sharp Chest Pain; Fever; Fatigue; Shortness of Breath; Dry Cough"
Hypertrophic Cardiomyopathy,Cardiology,"Genetic condition characterized by abnormal thickening of heart muscle.","Shortness of Breath; Chest Pain; Syncope; Heart Palpitations; Dizziness"
Dilated Cardiomyopathy,Cardiology,"Enlargement and weakening of the heart ventricles reducing pump efficiency.","Fatigue; Dyspnea on Exertion; Swollen Legs and Ankles; Ascites; Shortness of Breath"
Aortic Aneurysm,Cardiology,"Abnormal focal dilation of the aorta posing rupture risks.","Severe Back Pain; Pulsatile Abdominal Mass; Chest Discomfort; Hypotension; Sweating"
Ventricular Tachycardia,Cardiology,"Rapid abnormal heart rhythm arising from ventricular electrical signals.","Rapid Pulse; Dizziness; Syncope; Chest Pain; Shortness of Breath"
Bradycardia,Cardiology,"Abnormally slow resting heart rate under 60 beats per minute.","Extreme Fatigue; Dizziness; Confusion; Syncope; Shortness of Breath"
Deep Vein Thrombosis,Cardiology,"Formation of blood clots in deep veins commonly of lower limbs.","Leg Swelling; Calf Pain; Redness of Leg Skin; Warmth in Affected Limb; Leg Tenderness"
Pulmonary Embolism,Cardiology,"Acute arterial occlusion in the pulmonary vascular bed by thrombi.","Sudden Shortness of Breath; Sharp Pleuritic Chest Pain; Hemoptysis; Cyanosis; Rapid Heart Rate"
Psoriasis,Dermatology,"Chronic autoimmune skin disorder leading to rapid buildup of scaly epidermal cells.","Silvery Skin Scales; Red Skin Plaques; Dry Cracked Skin; Itching; Pitted Nails"
Atopic Dermatitis,Dermatology,"Chronic pruritic inflammatory skin disease characterized by itchy erythematous lesions.","Intense Pruritus; Erythematous Papules; Skin Lichenification; Dry Skin; Weeping Skin Lesions"
Acne Vulgaris,Dermatology,"Inflammatory disorder of the pilosebaceous units causing comedones and cysts.","Comedones; Pustules; Cysts; Skin Inflammation; Facial Scarring"
Alopecia Areata,Dermatology,"Autoimmune condition causing sudden non-scarring patchy hair loss.","Patchy Hair Loss; Exclamation Point Hairs; Nail Pitting; Scalp Itching; Sudden Bald Patches"
Vitiligo,Dermatology,"Autoimmune destruction of melanocytes resulting in depigmented white skin patches.","Depigmented Skin Macules; Premature Graying of Hair; Loss of Mucosal Pigment; Sun Sensitivity in White Patches; Symmetrical Skin Lesions"
Tinea Versicolor,Dermatology,"Fungal infection causing patchy hyperpigmented or hypopigmented skin lesions.","Hypopigmented Macules; Hyperpigmented Macules; Fine Skin Scaling; Mild Itching; Sweat-Induced Discomfort"
Herpes Zoster,Dermatology,"Reactivation of varicella-zoster virus causing painful unilateral dermatomal rash.","Unilateral Dermatomal Rash; Severe Burning Nerve Pain; Vesicular Eruptions; Fever; Tingling Sensation"
Urticaria,Dermatology,"Transient pruritic erythematous skin wheals caused by mast cell degranulation.","Pruritic Wheals; Erythematous Swelling; Angioedema; Dermatographism; Transient Skin Welts"
Rosacea,Dermatology,"Chronic facial dermatosis with flushing persistent erythema and telangiectasia.","Facial Erythema; Telangiectasia; Facial Papules; Ocular Irritation; Rhinophyma"
Molluscum Contagiosum,Dermatology,"Poxvirus infection causing firm dome-shaped umbilicated skin papules.","Dome-shaped Umbilicated Papules; Painless Skin Bumps; Erythema Surrounding Lesions; Mild Pruritus; Clustered Skin Bumps"
Seborrheic Dermatitis,Dermatology,"Inflammatory skin condition with scaly patches and red skin on sebaceous areas.","Dandruff; Greasy Yellowish Crusts; Scalp Erythema; Pruritus of Scalp; Facial Flaking"
Pemphigus Vulgaris,Dermatology,"Intraepidermal blistering autoimmune disease affecting skin and mucous membranes.","Flaccid Skin Blisters; Painful Oral Mucosal Ulcers; Positive Nikolsky Sign; Skin Denudation; Skin Burning"
Melanoma,Dermatology,"Malignant neoplasm arising from melanocytes of the skin.","Asymmetrical Skin Pigmentation; Irregular Border Mole; Varied Skin Lesion Colors; Mole Diameter Exceeding 6mm; Evolving Skin Growth"
Basal Cell Carcinoma,Dermatology,"Common skin malignancy manifesting as pearly translucent papules.","Pearly Papule; Telangiectatic Vessels; Central Ulceration; Non-healing Skin Sore; Bleeding Lesion"
Lichen Planus,Dermatology,"Cell-mediated immune response causing purple polygonal pruritic papules.","Pruritic Polygonal Papules; Wickham Striae; Oral Mucosal Lace-like Lesions; Nail Dystrophy; Post-inflammatory Hyperpigmentation"
Type 1 Diabetes Mellitus,Endocrinology,"Autoimmune destruction of pancreatic beta cells causing absolute insulin deficiency.","Polyuria; Polydipsia; Polyphagia; Unexplained Weight Loss; Extreme Fatigue"
Type 2 Diabetes Mellitus,Endocrinology,"Metabolic disorder marked by insulin resistance and relative insulin deficiency.","Increased Thirst; Frequent Urination; Blurred Vision; Slow Wound Healing; Acanthosis Nigricans"
Hypothyroidism,Endocrinology,"Thyroid hormone deficiency resulting in reduced metabolic rate.","Fatigue; Weight Gain; Cold Intolerance; Dry Skin; Constipation"
Hyperthyroidism,Endocrinology,"Excess thyroid hormone production leading to hypermetabolic state.","Weight Loss Despite Normal Appetite; Heat Intolerance; Heart Palpitations; Fine Tremor; Insomnia"
Graves Disease,Endocrinology,"Autoimmune etiology of hyperthyroidism with diffuse goiter and ophthalmopathy.","Exophthalmos; Goiter; Pretibial Myxedema; Tachycardia; Anxiety"
